good performance
lstm: 52.7914543152  attention: 6.71727752686
lstm: 48.8002929688  attention: 7.43100261688
lstm: 36.6522216797  attention: 6.32782077789
lstm: 42.0970878601  attention: 8.03883743286
lstm: 6.56621360779  attention: 1.36400747299
lstm: 20.3487606049  attention: 4.56234788895
lstm: 74.7836303711  attention: 18.473077774
lstm: 18.6949806213  attention: 5.47817611694
lstm: 41.1771430969  attention: 13.2614898682
lstm: 26.1953659058  attention: 8.51682090759
lstm: 124.13167572  attention: 40.8651008606
lstm: 42.5300216675  attention: 14.0669374466
lstm: 10.7315044403  attention: 3.60343599319
lstm: 17.4839420319  attention: 6.321808815
lstm: 9.14148330688  attention: 3.31466197968
lstm: 4.43472242355  attention: 1.65306258202
lstm: 19.0366420746  attention: 7.19595766068
lstm: 19.0366420746  attention: 7.19595766068
lstm: 19.0366420746  attention: 7.19595766068
lstm: 20.3277683258  attention: 7.96741819382
bad performance
lstm: 326.472381592  attention: 1294.31848145
lstm: 1117.18249512  attention: 3675.85253906
lstm: 1330.5300293  attention: 4253.02490234
lstm: 1034.14672852  attention: 2935.94067383
lstm: 1211.01953125  attention: 3244.5690918
lstm: 671.18170166  attention: 1758.73339844
lstm: 793.697998047  attention: 2000.87756348
lstm: 203.603500366  attention: 485.873748779
lstm: 802.010986328  attention: 1818.22363281
lstm: 598.885009766  attention: 1338.05932617
lstm: 251.065383911  attention: 559.511230469
lstm: 24.3873405457  attention: 52.9516601562
lstm: 117.392547607  attention: 246.787765503
lstm: 2137.10864258  attention: 4423.21826172
lstm: 220.953338623  attention: 455.129760742
lstm: 649.657409668  attention: 1337.51330566
lstm: 639.132080078  attention: 1270.2310791
lstm: 312.329162598  attention: 615.882751465
lstm: 262.136474609  attention: 506.504089355
lstm: 215.124862671  attention: 411.41595459
